ID,Entity,Code,Year,Death,Calories,Obese,Population__historical_estimates_,Continent,Column1,Column2,Column3,,Asia,,,,,3682,#REF!,,,
Russia2017,Russia,RUS,2017,15.01,3366,60.3,145452544,Europe,,,,,,,,,,,,,,
Saudi Arabia2017,Saudi Arabia,SAU,2017,20.76,3299,65.5,34193120,Asia,,,,,,,,,,,,,,
Sudan2017,Sudan,SDN,2017,13.97,2548,21.5,40679820,Africa,,,,,,,,,,,,,,
Sao Tome and Principe2017,Sao Tome and Principe,STP,2017,9.4,2407,24.1,208050,Africa,,,,,,,,,,,,,,
Suriname2017,Suriname,SUR,2017,13.79,2706,52,587566,South America,,,,,,,,,,,,,,
Sweden2017,Sweden,SWE,2017,9.11,3196,62.6,10058191,Europe,,,,,,,,,,,,,,
Togo2017,Togo,TGO,2017,5.73,2433,15.7,7852799,Africa,,,,,,,,,,,,,,
Thailand2017,Thailand,THA,2017,7.75,2809,26,70898208,Asia,,,,,,,,,,,,,,
Tajikistan2017,Tajikistan,TJK,2017,8.9,2105,39.4,8925529,Asia,,,,,,,,,,,,,,
Turkmenistan2017,Turkmenistan,TKM,2017,19.76,2882,52.6,5968388,Asia,,,,,,,,,,,,,,
Timor2017,Timor,TLS,2017,3.15,2280,,1243238,Asia,,,,,,,,,,,,,,
Trinidad and Tobago2017,Trinidad and Tobago,TTO,2017,20.01,2980,51.2,1478616,North America,,,,,,,,,,,,,,
Tunisia2017,Tunisia,TUN,2017,16.31,3457,55.1,11811441,Africa,,,,,,,,,,,,,,
Turkey2017,Turkey,TUR,2017,16.41,3737,63,82089824,Asia,,,,,,,,,,,,,,
Taiwan2017,Taiwan,TWN,2017,7.57,2950,42.4,23665028,Asia,,,,,,,,,,,,,,
Tanzania2017,Tanzania,TZA,2017,6.36,2328,15.2,56267040,Africa,,,,,,,,,,,,,,
Uganda2017,Uganda,UGA,2017,4.93,2022,12.5,40127096,Africa,,,,,,,,,,,,,,
Uruguay2017,Uruguay,URY,2017,9.35,3158,62.9,3422205,South America,,,,,,,,,,,,,,
Uzbekistan2017,Uzbekistan,UZB,2017,16.22,2982,46.8,31945680,North America,,,,,,,,,,,,,,
Venezuela2017,Venezuela,VEN,2017,13.55,2223,62.2,30563430,Asia,,,,,,,,,,,,,,
Vietnam2017,Vietnam,VNM,2017,5.25,2961,15.8,94033048,South America,,,,,,,,,,,,,,
Vanuatu2017,Vanuatu,VUT,2017,13.4,2622,47.2,290250,Asia,,,,,,,,,,,,,,
Samoa2017,Samoa,WSM,2017,18.97,3040,73.4,207642,Oceania,,,,,,,,,,,,,,
Yemen2017,Yemen,YEM,2017,8.25,2071,36.8,30034386,Oceania,,,,,,,,,,,,,,
South Africa2017,South Africa,ZAF,2017,12.09,2936,40.2,56641208,Asia,,,,,,,,,,,,,,
Zambia2017,Zambia,ZMB,2017,6.25,1991,18.5,17298056,Africa,,,,,,,,,,,,,,
Zimbabwe2017,Zimbabwe,ZWE,2017,6.03,1891,19.5,14751101,Africa,,,,,,,,,,,,,,
Afghanistan2016,Afghanistan,AFG,2016,12.01,2034,13.2,34636212,Asia,,,,,,,,,,,,,,
United Arab Emirates2016,United Arab Emirates,ARE,2016,23.77,3372,67.7,8994266,Asia,,,,,,,,,,,,,,
