Column1,Food,Serving,calories
,Squash,1 squash (196 g),88
,Endive,1 head (513 g),87
,Watermelon,1 wedge (286 g),86
,Watermelon,1 wedge (286 g),86
,Cream of Asparagus Soup,1 cup (244 g),85
,Mushroom Soup,1 cup (244 g),85
,Blueberries,1 cup (148 g),84
,Yorkshire Pudding,1 pudding (15 g),83
,Beef Noodle Soup,1 cup (244 g),83
,Noodle Soup,1 cup (244 g),83
,Minestrone,1 cup (241 g),82
,Cannelloni,2 oz. (56 g),82
,Millet Gruel,1 cup (174 g),80
,Scotch Broth,1 cup (241 g),80
,Healthy Choice,1 bar (64 g),80
,Peas,1 cup (98 g),79
,Spinach,1 bunch (340 g),78
,Chicken Vegetable Soup,1 cup (248 g),77
,Vegetable Beef Soup,1 cup (244 g),76
,Fried Shrimp,1 shrimp (27 g),75
,Solero,1 solero (75 g),75
,Asian Pear,1 pear (178 g),75
,Tomato Soup,1 cup (248 g),74
,Fennel,1 bulb (234 g),73
,Cream of Potato Soup,1 cup (244 g),73
,Pumpkin Soup,1 cup (245 g),71
,Blood Oranges,1 serving (140 g),70
,Minneola,1 minneola (109 g),70
,Beef Soup,1 cup (213 g),70
,Cabbage Soup,1 cup (245 g),69
,Oxtail Soup,1 cup (244 g),68
,Vegetable Soup,1 cup (241 g),67
,Cucumber,1 cucumber (410 g),66
,Nectarine,1 nectarine (150 g),66
,Raspberries,1 cup (123 g),64
,Currants,1 cup (112 g),63
,Blackberries,1 cup (144 g),62
,Orange,1 orange (131 g),62
,Deviled Eggs,1/2 egg (31 g),62
,Alphabet Soup,1 cup (248 g),62
,Chicken Noodle Soup,1 cup (248 g),62
,Artichoke,1 artichoke (128 g),60
,Mulberries,1 cup (140 g),60
,Peach,1 peach (150 g),59
,Chicken Nuggets,1 piece (20 g),59
,Chicken with Rice Soup,1 cup (243 g),58
,Mangosteen,1 serving (80 g),58
,Lasagne Sheets,1 sheet (21 g),57
,Falafel,1 patty (17 g),57
,Chicken Gumbo Soup,1 cup (244 g),56
,Creamy Chicken Noodle Soup,1 cup (245 g),56
,French Onion Soup,1 cup (243 g),56
,Onion Soup,1 cup (243 g),56
,Dumpling Dough,2 oz. (56 g),55
,Leek,1 leek (89 g),54
,Quince,1 quince (92 g),52
,Grapefruit,1/2 grapefruit (123 g),52
,Pink Grapefruit,1/2 grapefruit (123 g),52
,Pumpkin,1 pumpkin (196 g),51
,Strawberries,1 cup (152 g),49
,Mandarin Oranges,1 madarin orange (90 g),48
,Chicken McNuggets,1 nugget (16 g),48
,McDonald’s Chicken Nuggets,1 nugget (16 g),48
,Mandarin Oranges,1 mandarin orange (88 g),47
,Tangerine,1 tangerine (88 g),47
,Cranberries,1 cup (100 g),46
,Pretzel Sticks,20 sticks (12 g),46
,Honeydew,1 wedge (125 g),45
,Smoked Salmon,1 oz. (28.35 g),44
,Ravioli,2 oz. (56 g),43
,Rusk,1 rusk (10 g),41
,Bouillon,1 cup (244 g),39
,Chicken Broth,1 cup (244 g),39
,Chicken Stock,1 cup (244 g),39
,Chicory,1 head (53 g),38
,Figs,1 fig (50 g),37
,Guava,1 guava (55 g),37
,Dim Sum,1 piece (19 g),37
,Guava,1 guava (55 g),37
,Beetroot,1 beet (82 g),35
,Clementine,1 clementine (74 g),35
,Cracker,1 cracker (7 g),35
,Pizza Rolls,1 roll (14 g),35
,Casaba Melon,1 wedge (125 g),35
,Green Beans,1 cup (110 g),34
,Onion,1 onion (85 g),34
,Turnip Greens,1 turnip green (170 g),34
,Turnips,1 turnip (122 g),34
,Courgette,1 courgette (196 g),33
,Kale,"1 cup, chopped (67 g)",33
,Zucchini,1 zucchini (196 g),33
,California Roll,1 roll (35 g),33
,Persimmon,1 fruit (25 g),32
,Barley Groats,1 cup (31 g),31
,Plum,1 plum (66 g),30
,Mini Milk,1 mini milk (25 g),30
,Galia Melon,1 melon (130 g),30
,Turkey,1 oz. (28.35 g),29
,Starfruit,1 star fruit (91 g),28
,Star Fruit,1 starfruit (91 g),28
,Carrot,1 carrot (61 g),25
,Onion Rings,1 ring (6.5 g),25
,Tuna,1 oz. (28.35 g),24
,Cantaloupe,1 wedge (69 g),23
,Roast Beef,1 slice (21 g),23
,Cantaloupe Melon,1 wedge (69 g),23
,Feijoa,1 feijoa (42 g),23
,Muskmelon,1 wedge (69 g),23
,Jujube,1 oz. (28.35 g),22
,Cherry Tomato,1 cherry tomato (20 g),20
,Pepper,1 pepper (75 g),20
,Tomato,1 tomato (111 g),20
,Acai,1 oz. (28.35 g),20
,Dates,1 date (7.1 g),20
,Lime,1 lime (67 g),20
,Grissini,1 grissini (5 g),20
,Shallots,1 shallot (25 g),18
,Apricot,1 apricot (35 g),17
,Lemon,1 lemon (58 g),17
,Passion Fruit,1 passoin fruit (18 g),17
,Maracuya,1 maracuya (18 g),17
,Passion Fruit,1 passion fruit (18 g),17
,Prawn Crackers,1 cracker (3 g),16
,Bell Pepper,1 pepper (73 g),15
,Mustard Greens,"1 cup, chopped (56 g)",15
,Noni,1 oz. (28.4 g),15
,Collard Greens,1 cup (45 g),13
,Kumquat,1 kumquat (19 g),13
,Capsicum,1 pepper (45 g),12
,Collard Greens,"1 cup, raw (36 g)",12
,Vegetable Broth,1 cup (235 g),12
,Vegetable Stock,1 cup (235 g),12
,Rhubarb,1 stalk (51 g),11
,Wheat Gluten,1 tsp (3 g),10
,Chicken Bouillon,1 cup (241 g),10
,Shirataki Noodles,2 oz. (56 g),10
,Chard,1 leaf (48 g),9
,Gherkin,1 gherkin (65 g),9
,Brussels Sprouts,1 sprout (19 g),8
,Maraschino Cherries,1 cherry (5 g),8
,Prickly Pear,"1 pad, peeled (19 g)",8
,Horseradish,1 tbsp (15 g),7
,Red Cabbage,1 leaf (22 g),7
,Lychees,1 lychee (10 g),7
,Rambutan,1 rambutan (9 g),7
,Beef Bouillon,1 cup (240 g),7
,Lychee,1 lychee (10 g),7
,Rambutan,1 rambutan (9 g),7
,Celery,1 stalk (40 g),6
,Green Onion,1 green onion (15 g),5
,Tamarind,1 tamarind (2 g),5
,Tamarind,1 tamarind (2 g),5
,Garlic,1 clove (3 g),4
,Okra,1 pod (12 g),4
,Cherries,1 cherry (8 g),4
,Cauliflower,1 floweret (13 g),3
,Asparagus,1 spear (12 g),2
,Black Olives,1 olive (2.7 g),2
,Green Olives,1 olive (2.7 g),2
,Olives,1 olive (2.7 g),2
,Greengage,1 fruit (5 g),2
,Olives,1 olive (2.7 g),2
,Physalis,1 berry (5 g),2
,Arugula,1 leaf (2 g),1
,Chives,"1 tbsp, chopped (3 g)",1
,Mushrooms,1 mushroom (5.4 g),1
,Nori,1 sheet (2.6 g),1
,Radishes,1 radish (4.5 g),1
,Acerola,1 acerola (4.8 g),1
